Câu hỏi,Đáp án
"['Ai là người sáng lập chủ nghĩa cộng sản khoa học?', 'A. Karl Marx và Friedrich Engels', 'B. V.I. Lenin', 'C. C.M. Weber', 'D. Adam Smith']",A
"['Tiền tệ xuất hiện khi nào?', 'A. Từ khi loài người có mặt trên trái đất', 'B. Khi sản xuất hàng hóa xuất hiện', 'C. Khi lao động trở nên phức tạp', 'D. Khi thị trường được tổ chức']",B
"['Giá trị sử dụng của hàng hóa thể hiện ở đâu?', 'A. Trong quá trình sản xuất', 'B. Trong quá trình trao đổi', 'C. Trong quá trình tiêu dùng', 'D. Trong quá trình tích lũy']",C
"['Lý luận về tích lũy tư bản đề cập đến khía cạnh nào?', 'A. Lợi ích kinh tế của tư sản', 'B. Mối quan hệ giữa tư bản và lao động', 'C. Tái sản xuất mở rộng', 'D. Phân phối lợi nhuận']",C
"['Giá trị thặng dư tương đối được tạo ra bằng cách nào?', 'A. Kéo dài ngày lao động', 'B. Tăng năng suất lao động xã hội', 'C. Tăng cường độ lao động', 'D. Giảm giờ lao động']",B
"['Chức năng cơ bản nhất của tiền tệ là gì?', 'A. Là phương tiện thanh toán', 'B. Là phương tiện cất trữ', 'C. Là thước đo giá trị', 'D. Là phương tiện lưu thông']",C
"['Chủ nghĩa xã hội khoa học khác với các lý thuyết xã hội trước đó ở điểm nào?', 'A. Đặt vấn đề về giai cấp', 'B. Dựa trên cơ sở khoa học và thực tiễn', 'C. Đề cao vai trò của cá nhân', 'D. Không quan tâm đến tôn giáo']",B
"['Mục tiêu cuối cùng của chủ nghĩa xã hội là gì?', 'A. Xóa bỏ tư hữu', 'B. Tăng năng suất lao động', 'C. Xây dựng xã hội không còn giai cấp', 'D. Phát triển kinh tế thị trường']",C
"['Mối quan hệ giữa giá trị thặng dư và tư bản khả biến được biểu hiện qua công thức nào?', 'A. m=MVm = \\frac{M}{V}m=VM', 'B. c=CVc = \\frac{C}{V}c=VC', ""C. m′=MV×100%m' = \\frac{M}{V} \\times 100\\%m′=VM×100%"", ""D. m′=MC×100%m' = \\frac{M}{C} \\times 100\\%m′=CM×100%""]",C
"['Tích lũy tư bản trong chủ nghĩa tư bản được thực hiện bằng cách nào?', 'A. Tái đầu tư toàn bộ giá trị thặng dư', 'B. Phân chia giá trị thặng dư thành tiêu dùng và đầu tư', 'C. Sử dụng tư bản bất biến để tái sản xuất giản đơn', 'D. Giảm mức sống của công nhân để tăng lợi nhuận']",B
"['Theo lý thuyết của Marx, khủng hoảng kinh tế trong chủ nghĩa tư bản có nguyên nhân cơ bản từ đâu?', 'A. Sự cạnh tranh gay gắt giữa các nhà tư bản', 'B. Sự phân hóa giai cấp trong xã hội', 'C. Mâu thuẫn giữa tính chất xã hội hóa sản xuất và hình thức chiếm hữu tư bản chủ nghĩa', 'D. Chính sách của nhà nước đối với thị trường']",C
"['Tư bản thương nghiệp đóng vai trò gì trong quá trình sản xuất tư bản chủ nghĩa?', 'A. Là nguồn tạo giá trị mới', 'B. Là khâu phân phối giá trị thặng dư', 'C. Là yếu tố không cần thiết trong tái sản xuất', 'D. Là tư bản bất biến']",B
"['Quan hệ sản xuất tư bản chủ nghĩa bao gồm các yếu tố nào?', 'A. Quan hệ sở hữu, quan hệ tổ chức, và quan hệ phân phối', 'B. Quan hệ lao động, phân phối, và tiêu dùng', 'C. Quan hệ sở hữu, quản lý, và trao đổi', 'D. Quan hệ sở hữu, trao đổi, và tiêu thụ']",A
"['Quá trình lưu thông tư bản sản xuất diễn ra qua những giai đoạn nào?', 'A. Mua bán - tiêu dùng - sản xuất', 'B. Tiền tệ - hàng hóa - giá trị thặng dư', 'C. T - H...SX...H’ - T’', 'D. Sản xuất - lưu thông - tiêu thụ']",C
"['Đặc điểm nào của tái sản xuất tư bản chủ nghĩa quyết định sự khác biệt với tái sản xuất giản đơn?', 'A. Sử dụng công nghệ cao', 'B. Tái sản xuất mở rộng dựa trên giá trị thặng dư', 'C. Phân phối lợi nhuận theo quy luật giá trị', 'D. Thực hiện trên quy mô toàn cầu']",B
"['Giá trị hàng hóa được quyết định bởi yếu tố nào trong quá trình sản xuất tư bản chủ nghĩa?', 'A. Thời gian lao động xã hội cần thiết', 'B. Chi phí tư liệu sản xuất', 'C. Giá trị thặng dư tạo ra', 'D. Cầu của thị trường']",A
"['Mâu thuẫn kinh tế cơ bản trong chủ nghĩa tư bản là gì?', 'A. Giữa tư bản và lao động', 'B. Giữa giá trị và giá trị sử dụng', 'C. Giữa tư bản tài chính và tư bản công nghiệp', 'D. Giữa sản xuất và tiêu dùng']",A
"['Lợi nhuận bình quân trong chủ nghĩa tư bản hình thành dựa trên quy luật nào?', 'A. Quy luật giá trị thặng dư', 'B. Quy luật giá trị', 'C. Quy luật cạnh tranh và bình quân hóa tỷ suất lợi nhuận', 'D. Quy luật cung cầu']",C
"['Chủ nghĩa xã hội khoa học ra đời gắn liền với cuộc đấu tranh giai cấp nào?', 'A. Công nhân chống tư sản', 'B. Nông dân chống phong kiến', 'C. Giai cấp tư sản chống địa chủ', 'D. Giai cấp vô sản chống địa chủ']",A
"['Theo quan điểm của Marx và Engels, cách mạng vô sản sẽ dẫn đến kết quả gì?', 'A. Xây dựng xã hội không còn giai cấp', 'B. Tăng cường vai trò của nhà nước tư bản', 'C. Xóa bỏ lao động thủ công', 'D. Phát triển kinh tế thị trường']",A
"['Trong Chủ nghĩa xã hội khoa học, lực lượng xã hội đóng vai trò lãnh đạo cách mạng là ai?', 'A. Giai cấp nông dân', 'B. Giai cấp công nhân', 'C. Giai cấp tư sản', 'D. Giai cấp trí thức']",B
"['Điểm khác biệt cơ bản của xã hội xã hội chủ nghĩa so với xã hội tư bản là gì?', 'A. Sự phát triển kinh tế công nghiệp', 'B. Xóa bỏ sở hữu tư nhân về tư liệu sản xuất', 'C. Đầu tư mạnh mẽ vào giáo dục và y tế', 'D. Xây dựng kinh tế thị trường có điều tiết']",B
"['Hình thức cao nhất của ý thức hệ xã hội chủ nghĩa là gì?', 'A. Tư tưởng của chủ nghĩa cộng sản', 'B. Học thuyết về kinh tế thị trường', 'C. Triết học duy tâm', 'D. Học thuyết kinh tế hỗn hợp']",A
"['Nhà nước xã hội chủ nghĩa là công cụ của ai?', 'A. Tầng lớp trung lưu', 'B. Toàn dân', 'C. Giai cấp công nhân và nhân dân lao động', 'D. Đảng cầm quyền']",C
"['Nội dung cơ bản của cuộc cách mạng vô sản là gì?', 'A. Xây dựng lực lượng sản xuất', 'B. Thay đổi hình thức sở hữu tư liệu sản xuất', 'C. Tăng trưởng kinh tế', 'D. Nâng cao chất lượng giáo dục']",B
"['Phương thức sản xuất cộng sản chủ nghĩa bao gồm mấy giai đoạn?', 'A. Một giai đoạn', 'B. Hai giai đoạn', 'C. Ba giai đoạn', 'D. Nhiều giai đoạn không xác định']",B
"['Tại sao giai cấp công nhân được coi là giai cấp tiên phong trong cách mạng xã hội chủ nghĩa?', 'A. Họ có tri thức cao hơn nông dân', 'B. Họ bị bóc lột nặng nề nhất và đại diện cho phương thức sản xuất tiên tiến', 'C. Họ chiếm đa số trong dân số', 'D. Họ có lịch sử đấu tranh lâu dài']",B
"['Chủ nghĩa xã hội hiện thực bắt đầu được thực hiện ở quốc gia nào?', 'A. Pháp', 'B. Đức', 'C. Liên Xô', 'D. Trung Quốc']",C
"['Điều kiện kinh tế – xã hội nào là cơ sở vật chất cho sự ra đời của chủ nghĩa xã hội khoa học?', 'A. Cuộc cách mạng công nghiệp lần thứ nhất', 'B. Sự phát triển của chủ nghĩa tư bản', 'C. Cuộc cách mạng công nghiệp lần thứ hai', 'D. Sự suy tàn của chế độ phong kiến']",B
"['Nguyên tắc cơ bản của chủ nghĩa xã hội là gì?', 'A. Phân phối theo lao động', 'B. Phân phối theo nhu cầu', 'C. Phân phối theo vốn', 'D. Phân phối theo tài năng']",A
"['Vai trò của Đảng Cộng sản trong xã hội xã hội chủ nghĩa được thể hiện qua điều gì?', 'A. Lãnh đạo giai cấp vô sản', 'B. Là trung tâm của mọi hoạt động kinh tế', 'C. Là cơ quan hành pháp chủ yếu', 'D. Thay mặt nhân dân quyết định chính sách']",A
"['Mục tiêu cuối cùng của cách mạng xã hội chủ nghĩa là gì?', 'A. Tăng trưởng kinh tế bền vững', 'B. Xây dựng xã hội công bằng, dân chủ, văn minh', 'C. Xóa bỏ tư hữu', 'D. Phát triển kinh tế thị trường']",B
"['Học thuyết nào của Marx chỉ rõ con đường đi lên chủ nghĩa xã hội?', 'A. Học thuyết giá trị thặng dư', 'B. Học thuyết hình thái kinh tế - xã hội', 'C. Học thuyết cách mạng bạo lực', 'D. Học thuyết lao động giá trị']",B
"['Giai đoạn đầu của chủ nghĩa cộng sản được gọi là gì?', 'A. Xã hội tư bản chủ nghĩa cao', 'B. Chủ nghĩa xã hội', 'C. Chủ nghĩa cộng sản cao cấp', 'D. Xã hội phong kiến']",B
"['Hình thức sở hữu cơ bản trong chủ nghĩa xã hội là gì?', 'A. Sở hữu tư nhân', 'B. Sở hữu toàn dân và sở hữu tập thể', 'C. Sở hữu tư nhân hỗn hợp', 'D. Sở hữu theo vốn đóng góp']",B
"['Theo Marx, “đấu tranh giai cấp” là động lực của điều gì?', 'A. Tiến hóa tự nhiên', 'B. Phát triển lực lượng sản xuất', 'C. Tiến bộ xã hội', 'D. Quản lý nhà nước']",C
"['Nội dung nào dưới đây là đặc trưng của giai đoạn xã hội chủ nghĩa?', 'A. Kinh tế thị trường hoàn toàn tự do', 'B. Xóa bỏ bóc lột', 'C. Sự thống trị của địa chủ và phong kiến', 'D. Chỉ tồn tại sản xuất thủ công']",B
"['Vai trò của nhà nước trong xã hội xã hội chủ nghĩa là gì?', 'A. Quản lý kinh tế - xã hội và bảo vệ lợi ích của giai cấp công nhân', 'B. Bảo vệ tư nhân hóa tài sản', 'C. Chỉ đạo các hoạt động của doanh nghiệp', 'D. Tăng cường sự kiểm soát quân sự']",A
"['Theo C. Marx, mâu thuẫn cơ bản của phương thức sản xuất tư bản chủ nghĩa là gì?', 'A. Mâu thuẫn giữa lao động và tư bản', 'B. Mâu thuẫn giữa sản xuất và tiêu dùng', 'C. Mâu thuẫn giữa tính chất xã hội hóa của sản xuất và chiếm hữu tư nhân về tư liệu sản xuất', 'D. Mâu thuẫn giữa giá trị và giá trị sử dụng']",C
"['Quan hệ biện chứng giữa cơ sở hạ tầng và kiến trúc thượng tầng trong một hình thái kinh tế - xã hội được quyết định bởi yếu tố nào?', 'A. Cơ sở hạ tầng quyết định kiến trúc thượng tầng', 'B. Kiến trúc thượng tầng quyết định cơ sở hạ tầng', 'C. Cả hai cùng tồn tại độc lập', 'D. Không có mối quan hệ biện chứng']",A
"['Trong triết học Mác-Lênin, vật chất được hiểu là gì?', 'A. Tất cả những gì tồn tại bên ngoài ý thức', 'B. Thực tại khách quan mà ý thức không thể nhận thức được', 'C. Thực tại khách quan được đem lại cho con người trong cảm giác', 'D. Thực thể tồn tại trong không gian và thời gian']",C
"['Quy luật thống nhất và đấu tranh của các mặt đối lập thể hiện vai trò gì trong phép biện chứng?', 'A. Quy luật chung của mọi biến đổi', 'B. Quy luật cơ bản và quan trọng nhất', 'C. Quy luật riêng trong lĩnh vực xã hội', 'D. Quy luật cơ sở của tư duy logic']",B
"['Theo Lênin, điều kiện kinh tế nào tạo cơ sở cho sự ra đời của chủ nghĩa đế quốc?', 'A. Tích lũy tư bản trong sản xuất công nghiệp', 'B. Tập trung tư bản và hình thành độc quyền', 'C. Sự phân hóa giai cấp trong xã hội tư bản', 'D. Sự phát triển mạnh mẽ của kinh tế thị trường']",B
"['Lý luận về giá trị của Marx phân biệt giá trị với giá trị sử dụng dựa trên điều gì?', 'A. Công dụng của hàng hóa', 'B. Lao động cụ thể và lao động trừu tượng', 'C. Số lượng lao động cần thiết', 'D. Mức độ khan hiếm của hàng hóa']",B
"['Quy luật giá trị trong nền kinh tế hàng hóa có vai trò gì?', 'A. Quy định giá cả hàng hóa', 'B. Điều tiết sản xuất và lưu thông hàng hóa', 'C. Làm tăng lợi nhuận của nhà tư bản', 'D. Tạo điều kiện cho sự cạnh tranh']",B
"['Theo Marx, hình thái kinh tế - xã hội là sự thống nhất giữa những yếu tố nào?', 'A. Lực lượng sản xuất và tư liệu sản xuất', 'B. Lực lượng sản xuất và quan hệ sản xuất', 'C. Quan hệ sản xuất và tư duy con người', 'D. Quan hệ sản xuất và kiến trúc thượng tầng']",D
"['Cách mạng công nghiệp lần thứ hai đã tạo tiền đề cho sự chuyển hóa của chủ nghĩa tư bản thành giai đoạn nào?', 'A. Chủ nghĩa tư bản tự do cạnh tranh', 'B. Chủ nghĩa đế quốc', 'C. Chủ nghĩa tư bản độc quyền nhà nước', 'D. Chủ nghĩa xã hội']",B
"['Theo Lênin, đặc điểm nổi bật nhất của chủ nghĩa đế quốc là gì?', 'A. Sự xuất hiện của chủ nghĩa xã hội', 'B. Sự thống trị của tư bản tài chính', 'C. Sự phát triển của khoa học công nghệ', 'D. Sự mở rộng thị trường toàn cầu']",B
"['Theo Hồ Chí Minh, nhiệm vụ trọng tâm trong thời kỳ quá độ là gì?', 'A. Công nghiệp hóa đất nước', 'B. Phát triển văn hóa và giáo dục', 'C. Đoàn kết dân tộc', 'D. Cải tạo xã hội cũ, xây dựng xã hội mới']",D
"['Hồ Chí Minh khẳng định: “Độc lập mà không có tự do và hạnh phúc thì độc lập đó…”', 'A. Không có ý nghĩa thực sự', 'B. Là nửa vời', 'C. Không bền vững', 'D. Không được nhân dân ủng hộ']",A
"['Quan điểm Hồ Chí Minh về mối quan hệ giữa dân chủ và kỷ luật là gì?', 'A. Dân chủ là mục tiêu, kỷ luật là công cụ', 'B. Kỷ luật là điều kiện để thực hiện dân chủ', 'C. Dân chủ và kỷ luật bổ sung cho nhau', 'D. Dân chủ và kỷ luật đối lập']",C
"['Hồ Chí Minh cho rằng “cần kiệm liêm chính” trong đạo đức cách mạng có vai trò gì?', 'A. Là tiêu chuẩn để đánh giá cán bộ', 'B. Là phẩm chất cốt lõi của người lãnh đạo', 'C. Là cơ sở cho sự đoàn kết nội bộ', 'D. Là cách để duy trì lòng tin của nhân dân']",D
"Câu hỏi,Đáp án"
"['Theo Marx, bản chất của giá trị thặng dư được quyết định bởi yếu tố nào?', 'A. Thời gian lao động vượt quá lao động cần thiết', 'B. Tăng cường độ lao động', 'C. Cầu vượt cung', 'D. Lao động không được trả công']",A
"['Quy luật kinh tế nào được xem là quy luật cơ bản của nền sản xuất tư bản chủ nghĩa?', 'A. Quy luật cạnh tranh', 'B. Quy luật giá trị thặng dư', 'C. Quy luật cung cầu', 'D. Quy luật giá cả hàng hóa']",B
"['Hồ Chí Minh nhấn mạnh phương pháp nào là quan trọng nhất trong xây dựng chủ nghĩa xã hội ở Việt Nam?', 'A. Phương pháp tuyên truyền', 'B. Phương pháp dân vận', 'C. Phương pháp nêu gương', 'D. Phương pháp kiểm tra']",C
"['Trong điều kiện xã hội tư bản, tư bản thương nghiệp được xem là gì theo Marx?', 'A. Tư bản bất biến', 'B. Hình thức tư bản thứ cấp', 'C. Tư bản đại diện cho sản xuất', 'D. Công cụ phân phối giá trị thặng dư']",D
"['Giá trị sử dụng của hàng hóa khác với giá trị ở điểm nào?', 'A. Là sản phẩm lao động xã hội', 'B. Được quyết định bởi lao động trừu tượng', 'C. Phụ thuộc vào thời gian lao động xã hội cần thiết', 'D. Đáp ứng nhu cầu sử dụng của con người']",D
"['Lênin phân chia giai cấp vô sản thành bao nhiêu loại dựa trên vai trò trong cách mạng?', 'A. Hai loại', 'B. Ba loại', 'C. Bốn loại', 'D. Năm loại']",B
"['Theo lý luận của Marx, điều kiện nào dẫn đến tái sản xuất mở rộng trong chủ nghĩa tư bản?', 'A. Sự tích lũy tư bản', 'B. Sự phát triển của lao động tay nghề cao', 'C. Tăng giá trị thặng dư tương đối', 'D. Tăng giá trị thặng dư tuyệt đối']",A
"['Điểm khác biệt chính giữa giá trị thặng dư tương đối và giá trị thặng dư tuyệt đối là gì?', 'A. Cơ chế tạo giá trị thặng dư', 'B. Thời gian lao động vượt mức cần thiết', 'C. Mức độ bóc lột lao động', 'D. Công nghệ sản xuất hiện đại']",A
"['Quan điểm của Lênin về cách mạng dân chủ tư sản kiểu mới nhấn mạnh yếu tố nào?', 'A. Vai trò của nông dân', 'B. Sự lãnh đạo của giai cấp vô sản', 'C. Sự tham gia của tầng lớp trí thức', 'D. Hỗ trợ của các nước xã hội chủ nghĩa']",B
"['Mâu thuẫn nào được xem là động lực cơ bản của cách mạng vô sản theo Marx?', 'A. Mâu thuẫn giữa tư sản và nông dân', 'B. Mâu thuẫn giữa lực lượng sản xuất và quan hệ sản xuất', 'C. Mâu thuẫn giữa lực lượng lao động và chủ tư bản', 'D. Mâu thuẫn giữa thị trường và sản xuất']",B
"['Hồ Chí Minh nhấn mạnh rằng độc lập dân tộc phải gắn liền với điều kiện nào?', 'A. Hòa bình lâu dài', 'B. Tăng trưởng kinh tế', 'C. Chủ quyền quốc gia', 'D. Dân chủ và công bằng xã hội']",D
"['Theo tư tưởng Hồ Chí Minh, điều gì là yếu tố quyết định thắng lợi của cách mạng?', 'A. Lực lượng quần chúng nhân dân', 'B. Chính sách của nhà nước', 'C. Sự ủng hộ quốc tế', 'D. Đảng Cộng sản lãnh đạo']",A
"['Công thức tư bản lưu thông được Marx biểu thị bằng ký hiệu nào?', 'A. H - T - H', 'B. T - H - T\'', 'C. T - H - T', 'D. H - H - T']",B
"['Trong nền kinh tế xã hội chủ nghĩa, yếu tố nào được xem là cơ bản để xây dựng xã hội công bằng?', 'A. Tăng năng suất lao động', 'B. Phân phối theo nhu cầu', 'C. Phát triển khoa học công nghệ', 'D. Đảm bảo quyền sở hữu tập thể']",D
"['Mâu thuẫn giữa giá trị và giá trị sử dụng của hàng hóa xuất phát từ đâu?', 'A. Lao động cụ thể và lao động trừu tượng', 'B. Mục đích trao đổi hàng hóa', 'C. Thời gian lao động xã hội cần thiết', 'D. Phân hóa giai cấp trong xã hội']",A
"['Theo Marx, nguyên nhân dẫn đến khủng hoảng thừa trong chủ nghĩa tư bản là gì?', 'A. Sự phát triển của lực lượng sản xuất vượt quá khả năng tiêu thụ', 'B. Sự cạnh tranh không lành mạnh', 'C. Chính sách thuế của nhà nước', 'D. Sự suy giảm của thị trường lao động']",A
"['Chức năng chính của nhà nước trong xã hội xã hội chủ nghĩa là gì?', 'A. Quản lý sản xuất', 'B. Phân phối tài nguyên công bằng', 'C. Lãnh đạo cách mạng văn hóa', 'D. Giám sát quá trình tái sản xuất']",B
"['Giá trị hàng hóa được đo lường bằng gì trong nền kinh tế thị trường?', 'A. Lao động cụ thể', 'B. Lao động trừu tượng', 'C. Thời gian lao động xã hội cần thiết', 'D. Số lượng hàng hóa sản xuất']",C
"['Theo Lênin, hình thái kinh tế - xã hội phát triển cao nhất là gì?', 'A. Chủ nghĩa cộng sản', 'B. Chủ nghĩa xã hội', 'C. Chủ nghĩa tư bản', 'D. Chủ nghĩa quân chủ']",A
"['Hình thức bóc lột phổ biến trong chủ nghĩa tư bản được Marx gọi là gì?', 'A. Giá trị thặng dư', 'B. Lợi nhuận', 'C. Giá trị lao động', 'D. Thặng dư giá trị sử dụng']",A"['Theo quan điểm của triết học Mác - Lênin, mâu thuẫn là gì?', 'A. Sự đối lập ngẫu nhiên', 'B. Nguồn gốc của sự vận động và phát triển', 'C. Một trạng thái tĩnh tại', 'D. Một hiện tượng không phổ biến']",B
"['Triết học Mác - Lênin cho rằng sự phát triển là gì?', 'A. Sự vận động ngẫu nhiên', 'B. Quá trình thay đổi về chất thông qua lượng', 'C. Sự lặp lại của các hiện tượng', 'D. Sự ngừng trệ của đối tượng']",B
"['Theo triết học Mác - Lênin, thực tiễn đóng vai trò gì trong nhận thức?', 'A. Là nguồn gốc và tiêu chuẩn của nhận thức', 'B. Là yếu tố phụ thuộc vào ý thức', 'C. Là hiện tượng ngẫu nhiên', 'D. Là kết quả của lý thuyết']",A
"['Quy luật phủ định của phủ định trong triết học Mác - Lênin chỉ ra điều gì?', 'A. Sự lặp lại đơn thuần', 'B. Sự phát triển theo hình xoáy ốc', 'C. Sự ngừng trệ của đối tượng', 'D. Sự vận động ngẫu nhiên']",B
"['Triết học Mác - Lênin cho rằng nhận thức bắt đầu từ đâu?', 'A. Từ lý thuyết', 'B. Từ thực tiễn', 'C. Từ ý niệm tuyệt đối', 'D. Từ kinh nghiệm cá nhân']",B
"['Chủ nghĩa duy vật biện chứng giải quyết vấn đề cơ bản của triết học như thế nào?', 'A. Đặt ý thức lên trên vật chất', 'B. Đặt vật chất lên trên ý thức', 'C. Xem ý thức và vật chất tồn tại độc lập', 'D. Phủ nhận sự tồn tại của ý thức']",B
"['Theo triết học Mác - Lênin, lịch sử xã hội được vận động bởi yếu tố nào?', 'A. Ý thức của con người', 'B. Quy luật khách quan', 'C. Niềm tin tôn giáo', 'D. Các hiện tượng tự nhiên']",B
"['Theo triết học Mác - Lênin, quy luật nào là cơ sở cho sự phát triển của thế giới quan duy vật?', 'A. Quy luật vận động', 'B. Quy luật lượng - chất', 'C. Quy luật nhân quả', 'D. Quy luật phủ định của phủ định']",A
"['Triết học duy vật biện chứng nhấn mạnh điều gì về vai trò của thực tiễn?', 'A. Thực tiễn là nguồn gốc và tiêu chuẩn của chân lý', 'B. Thực tiễn chỉ đóng vai trò thứ yếu trong nhận thức', 'C. Thực tiễn không liên quan đến nhận thức', 'D. Thực tiễn là yếu tố tạm thời']",A
"['Theo triết học Mác - Lênin, mối quan hệ giữa cái chung và cái riêng được hiểu như thế nào?', 'A. Cái chung tồn tại độc lập với cái riêng', 'B. Cái chung chỉ là tổng hợp của các cái riêng', 'C. Cái chung chỉ tồn tại thông qua cái riêng', 'D. Cái chung không liên quan đến cái riêng']",C
"['Khái niệm "ý thức" trong triết học Mác - Lênin được định nghĩa như thế nào?', 'A. Là sự phản ánh sáng tạo của vật chất', 'B. Là hiện tượng siêu nhiên', 'C. Là một dạng vật chất', 'D. Là trạng thái tĩnh của con người']",A
"['Theo triết học Mác - Lênin, vật chất tồn tại dưới hình thức nào?', 'A. Ý niệm và tinh thần', 'B. Hình thức khách quan và độc lập với ý thức', 'C. Chỉ trong các hiện tượng tự nhiên', 'D. Tồn tại trong ý thức con người']",B
"['Mối quan hệ giữa cái tất nhiên và cái ngẫu nhiên trong triết học Mác - Lênin là gì?', 'A. Cái tất nhiên quyết định cái ngẫu nhiên', 'B. Cái ngẫu nhiên quyết định cái tất nhiên', 'C. Cả hai không liên quan đến nhau', 'D. Cả hai tồn tại độc lập']",A
"['Theo triết học Mác - Lênin, không gian và thời gian là gì?', 'A. Chỉ là cảm giác của con người', 'B. Gắn liền với vật chất vận động', 'C. Tồn tại độc lập với vật chất', 'D. Là hiện tượng tạm thời']",B
"['Quy luật lượng - chất trong triết học Mác - Lênin chỉ ra điều gì?', 'A. Sự thay đổi về chất xảy ra khi lượng đạt đến một mức độ nhất định', 'B. Chất thay đổi độc lập với lượng', 'C. Lượng và chất không liên quan', 'D. Chất luôn thay đổi trước lượng']",A
"['Theo triết học Mác - Lênin, bản chất của sự vật là gì?', 'A. Tổng hợp tất cả các mặt, các mối liên hệ cơ bản', 'B. Một hiện tượng tạm thời', 'C. Một khía cạnh ngẫu nhiên', 'D. Một thuộc tính không đổi']",A
"['Phép biện chứng duy vật giải thích mối quan hệ giữa hiện tượng và bản chất như thế nào?', 'A. Hiện tượng phản ánh bản chất', 'B. Hiện tượng độc lập với bản chất', 'C. Hiện tượng không liên quan đến bản chất', 'D. Hiện tượng là bản chất tuyệt đối']",A
"['Theo triết học Mác - Lênin, phủ định biện chứng là gì?', 'A. Sự phủ định hoàn toàn cái cũ', 'B. Sự thay thế cái cũ bằng cái mới có chọn lọc', 'C. Sự lặp lại của các hiện tượng', 'D. Sự ngừng trệ của sự phát triển']",B
"['Triết học Mác - Lênin cho rằng thực tiễn có vai trò như thế nào trong việc kiểm nghiệm chân lý?', 'A. Là yếu tố duy nhất quyết định chân lý', 'B. Là tiêu chuẩn khách quan để kiểm nghiệm chân lý', 'C. Không có vai trò trong việc kiểm nghiệm chân lý', 'D. Là yếu tố phụ thuộc vào ý thức']",B
"['Theo triết học Mác - Lênin, mối liên hệ phổ biến là gì?', 'A. Các sự vật tồn tại độc lập', 'B. Các sự vật và hiện tượng có mối liên hệ với nhau', 'C. Sự ngẫu nhiên của các hiện tượng', 'D. Sự tồn tại cô lập của thế giới']",B

